Kennziffer;Raumeinheit;Aggregat;Krankenhausversorgung;Krankenhausversorgung;Krankenhausversorgung;Krankenhausversorgung;Krankenhausversorgung;Krankenhausversorgung;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Kinder ausländischer Herkunft in Tageseinrichtungen;Kinder ausländischer Herkunft in Tageseinrichtungen;Kinder ausländischer Herkunft in Tageseinrichtungen
;;;2016Krankenhausversorgung;2017Krankenhausversorgung;2018Krankenhausversorgung;2019Krankenhausversorgung;2020Krankenhausversorgung;2021Krankenhausversorgung;2016;2017;2018;2019;2020;2016;2017;2018
06633;Kassel;Kreise;4,02;3,6;3,88;3,86;3,74;3,96;26,97;29,23;29,35;32,87;34,74;23,98;24,8;26,65
06634;Schwalm-Eder-Kreis;Kreise;3,55;3,57;3,76;3,58;3,74;3,74;27,44;30,53;31,53;34,6;35,2;20,53;21,2;24,18
06635;Waldeck-Frankenberg;Kreise;10,75;10,91;10,97;11,25;11,26;11,25;24,09;25,91;28,41;31,1;29,63;31,57;31,8;31,69
06636;Werra-Meißner-Kreis;Kreise;5,82;5,82;5,98;5,94;6,17;6,21;30,38;30,26;29,96;31,17;33,09;14,93;16,89;17,88
07111;Koblenz, kreisfreie Stadt;Kreise;17,66;17,1;17,16;17,07;16,82;16,78;26,9;26,69;25,75;27,69;28,5;39,41;40,35;40,3
07131;Ahrweiler;Kreise;5,89;5,87;4,56;5,27;4,36;4,1;30,44;31,48;31,6;31,32;30,94;32,95;34,61;35,07
07132;Altenkirchen (Westerwald);Kreise;2,99;2,99;2,58;2,99;2,57;2,65;21,91;24,23;26,19;26,71;26,11;29,9;31,78;32,74
07133;Bad Kreuznach;Kreise;6,09;6,11;6,31;6,08;6,12;6,14;29,48;29,04;28,29;32,08;32,21;32,77;32,88;33,15
07134;Birkenfeld;Kreise;8,3;8,31;8,16;8,24;7,79;7,74;22,49;27,04;27,88;25,88;23,29;29,51;29,75;28,65
07135;Cochem-Zell;Kreise;7,19;6,89;6,9;6,37;5,51;5,48;29,09;28,78;32,26;31,54;35,11;28,43;30,36;29,03
07137;Mayen-Koblenz;Kreise;3,53;3,52;3,38;3,5;3,37;3,37;28,13;29,96;32,52;34,23;33,81;31,31;33,12;32,37
07138;Neuwied;Kreise;8,88;8,8;8,75;8,7;8,93;7,97;25,55;25,54;27,25;26,85;27,47;35,81;37,23;36,99
07140;Rhein-Hunsrück-Kreis;Kreise;4,33;4,33;4,22;4,19;3,71;2,21;25,78;28,11;30,04;29,51;29,16;30,9;28,64;29,14
07141;Rhein-Lahn-Kreis;Kreise;8,15;8,26;8,22;8,19;8,44;6,97;28,69;31,5;31,96;33,31;32,62;27,69;29,11;26,43
07143;Westerwaldkreis;Kreise;2,66;2,69;2,56;2,64;2,63;2,6;23,76;27,32;27,44;31,14;29,54;30,94;29,78;28,8
07211;Trier, kreisfreie Stadt;Kreise;13,88;14,3;14,2;13,62;14,06;13,45;32;34,74;35,63;37,72;35,52;;28,65;30,07
07231;Bernkastel-Wittlich;Kreise;4,43;4,42;4,77;4,41;4,76;4,74;27,79;31,13;29,72;32,86;30,96;27,4;28,98;29,26
07232;Eifelkreis Bitburg-Prüm;Kreise;6,12;6,11;5,83;5,82;5,67;5;24,55;26,39;27,32;28,5;30,38;26,59;26,35;27,94
07233;Vulkaneifel;Kreise;3,82;3,82;4,36;4,34;4,36;3,78;24,16;26,23;28,25;28,25;28,98;22,87;23,97;25,6
07235;Trier-Saarburg;Kreise;2,5;2,29;1,97;2,21;2,11;2,19;38,08;38,75;40,01;38,79;39,33;26,28;24,9;23,84
07311;Frankenthal (Pfalz), kreisfreie Stadt;Kreise;6,5;6,51;6,07;6,46;7,12;7,32;17,64;20,13;18,68;20,62;18,04;46,56;50,23;49,84
07312;Kaiserslautern, kreisfreie Stadt;Kreise;11,56;11,68;11,23;11,21;11,21;11,01;27,67;29,09;27,5;27,57;24,35;41,66;38,67;39,58
07313;Landau in der Pfalz, kreisfreie Stadt;Kreise;18,35;18,23;16,67;16,79;15,55;14,92;33,47;32,52;36,4;39,62;36,44;31,38;33,23;34,04
07314;Ludwigshafen am Rhein, kreisfreie Stadt;Kreise;12,22;12,15;11,64;11,72;11,63;11,84;22,93;24,24;23,04;19,95;22,3;60,78;56,07;56,88
07315;Mainz, kreisfreie Stadt;Kreise;10,68;10,32;9,84;10,07;9,92;10,38;29,2;29,95;29,69;31,72;32,33;43,83;43,56;44,23
07316;Neustadt an der Weinstraße, kreisfreie Stadt;Kreise;6,84;6,82;6,81;6,87;4,99;5,05;28,71;27,65;28,36;31,3;26,86;34,4;30,59;29,91
07317;Pirmasens, kreisfreie Stadt;Kreise;10,64;11,1;10,82;10,66;10,88;10,91;20,08;24,08;24,07;24,61;19,59;31,87;33,86;34,8
